Date,Open,High,Low,Close,Adjusted_close,Volume
24/02/2022,152.58,162.85,152,162.74,161.1066,141147500
25/02/2022,163.84,165.12,160.87,164.85,163.1954,91974200
28/02/2022,163.06,165.42,162.43,165.12,163.4627,95056600
01/03/2022,164.7,166.6,161.97,163.2,161.562,83474400
02/03/2022,164.39,167.36,162.95,166.56,164.8882,79724800
03/03/2022,168.47,168.91,165.55,166.23,164.5616,76678400
04/03/2022,164.49,165.55,162.1,163.17,161.5323,83737200
07/03/2022,163.36,165.02,159.04,159.3,157.7011,96418800
08/03/2022,158.82,162.88,155.8,157.44,155.8598,131148300
09/03/2022,161.48,163.41,159.41,162.95,161.3145,91454900
10/03/2022,160.2,160.39,155.98,158.52,156.9289,105342000
11/03/2022,158.93,159.28,154.5,154.73,153.177,96970100
14/03/2022,151.45,154.12,150.1,150.62,149.1082,108732100
15/03/2022,150.9,155.57,150.38,155.09,153.5334,92964300
16/03/2022,157.05,160,154.46,159.59,157.9882,102300200
17/03/2022,158.61,161,157.63,160.62,159.0079,75615400
18/03/2022,160.51,164.48,159.76,163.98,162.3341,123511700
21/03/2022,163.51,166.35,163.01,165.38,163.7201,95811400
22/03/2022,165.51,169.42,164.91,168.82,167.1256,81532000
23/03/2022,167.99,172.64,167.65,170.21,168.5016,98062700
24/03/2022,171.06,174.14,170.21,174.07,172.3229,90131400
25/03/2022,173.88,175.28,172.75,174.72,172.9663,80546200
28/03/2022,172.17,175.73,172,175.6,173.8375,90371900
29/03/2022,176.69,179.01,176.34,178.96,177.1638,100589400
30/03/2022,178.55,179.61,176.7,177.77,175.9857,92633200
31/03/2022,177.84,178.03,174.4,174.61,172.8574,103049300
01/04/2022,174.03,174.88,171.94,174.31,172.5605,78751300
04/04/2022,174.57,178.49,174.44,178.44,176.649,76468400
05/04/2022,177.5,178.3,174.42,175.06,173.3029,73401800
06/04/2022,172.36,173.63,170.13,171.83,170.1053,89058800
07/04/2022,171.16,173.36,169.85,172.14,170.4122,77594700
08/04/2022,171.78,171.78,169.2,170.09,168.3828,76575500
11/04/2022,168.71,169.03,165.5,165.75,164.0864,72246700
12/04/2022,168.02,169.87,166.64,167.66,165.9772,79265200
13/04/2022,167.39,171.04,166.77,170.4,168.6897,70618900
14/04/2022,170.62,171.27,165.04,165.29,163.631,75329400
18/04/2022,163.92,166.6,163.57,165.07,163.4132,69023900
19/04/2022,165.02,167.82,163.91,167.4,165.7198,67723800
20/04/2022,168.76,168.88,166.1,167.23,165.5515,67929800
21/04/2022,168.91,171.53,165.91,166.42,164.7496,87227800
22/04/2022,166.46,167.87,161.5,161.79,160.1661,84882400
25/04/2022,161.12,163.17,158.46,162.88,161.2452,96046400
26/04/2022,162.25,162.34,156.72,156.8,155.2262,95623200
27/04/2022,155.91,159.79,155.38,156.57,154.9985,88063200
28/04/2022,159.25,164.52,158.93,163.64,161.9975,130216800
29/04/2022,161.84,166.2,157.25,157.65,156.0677,131747600
02/05/2022,156.71,158.23,153.27,157.96,156.3746,123055300
03/05/2022,158.15,160.71,156.32,159.48,157.8793,88966500
04/05/2022,159.67,166.48,159.26,166.02,164.3537,108256500
05/05/2022,163.85,164.08,154.95,156.77,155.1965,130525300
06/05/2022,156.01,159.44,154.18,157.28,155.9301,116124600
09/05/2022,154.93,155.83,151.49,152.06,150.7549,131577900
